Comunidad autónoma;Motivos por los que no exiten puestos de trabajo vacantes;Periodo;Total
03 Asturias, Principado de;Total;2013T4;100
03 Asturias, Principado de;Total;2013T3;100
03 Asturias, Principado de;No se necesita ningún trabajador;2024T4;90,8
03 Asturias, Principado de;No se necesita ningún trabajador;2024T3;94,3
03 Asturias, Principado de;No se necesita ningún trabajador;2024T2;93,9
03 Asturias, Principado de;No se necesita ningún trabajador;2024T1;92,8
03 Asturias, Principado de;No se necesita ningún trabajador;2023T4;96
03 Asturias, Principado de;No se necesita ningún trabajador;2023T3;94,1
03 Asturias, Principado de;No se necesita ningún trabajador;2023T2;91,7
03 Asturias, Principado de;No se necesita ningún trabajador;2023T1;93,2
03 Asturias, Principado de;No se necesita ningún trabajador;2022T4;94
03 Asturias, Principado de;No se necesita ningún trabajador;2022T3;92,3
03 Asturias, Principado de;No se necesita ningún trabajador;2022T2;95,2
03 Asturias, Principado de;No se necesita ningún trabajador;2022T1;93,3
03 Asturias, Principado de;No se necesita ningún trabajador;2021T4;94
03 Asturias, Principado de;No se necesita ningún trabajador;2021T3;94,4
03 Asturias, Principado de;No se necesita ningún trabajador;2021T2;94,9
03 Asturias, Principado de;No se necesita ningún trabajador;2021T1;94,6
03 Asturias, Principado de;No se necesita ningún trabajador;2020T4;96,9
03 Asturias, Principado de;No se necesita ningún trabajador;2020T3;96,1
03 Asturias, Principado de;No se necesita ningún trabajador;2020T2;97,2
03 Asturias, Principado de;No se necesita ningún trabajador;2020T1;96,8
03 Asturias, Principado de;No se necesita ningún trabajador;2019T4;94,9
03 Asturias, Principado de;No se necesita ningún trabajador;2019T3;95,3
03 Asturias, Principado de;No se necesita ningún trabajador;2019T2;93,3
03 Asturias, Principado de;No se necesita ningún trabajador;2019T1;91,1
03 Asturias, Principado de;No se necesita ningún trabajador;2018T4;93
03 Asturias, Principado de;No se necesita ningún trabajador;2018T3;93,6
03 Asturias, Principado de;No se necesita ningún trabajador;2018T2;95,2
03 Asturias, Principado de;No se necesita ningún trabajador;2018T1;96,9
03 Asturias, Principado de;No se necesita ningún trabajador;2017T4;95,3
03 Asturias, Principado de;No se necesita ningún trabajador;2017T3;93,2
03 Asturias, Principado de;No se necesita ningún trabajador;2017T2;94,3
03 Asturias, Principado de;No se necesita ningún trabajador;2017T1;95,2
03 Asturias, Principado de;No se necesita ningún trabajador;2016T4;96,1
03 Asturias, Principado de;No se necesita ningún trabajador;2016T3;95,1
03 Asturias, Principado de;No se necesita ningún trabajador;2016T2;94,7
03 Asturias, Principado de;No se necesita ningún trabajador;2016T1;95,5
03 Asturias, Principado de;No se necesita ningún trabajador;2015T4;94,5
03 Asturias, Principado de;No se necesita ningún trabajador;2015T3;92,8
03 Asturias, Principado de;No se necesita ningún trabajador;2015T2;94,3
03 Asturias, Principado de;No se necesita ningún trabajador;2015T1;95,5
03 Asturias, Principado de;No se necesita ningún trabajador;2014T4;94,6
03 Asturias, Principado de;No se necesita ningún trabajador;2014T3;93,8
03 Asturias, Principado de;No se necesita ningún trabajador;2014T2;91,1
03 Asturias, Principado de;No se necesita ningún trabajador;2014T1;94,2
03 Asturias, Principado de;No se necesita ningún trabajador;2013T4;94,3
03 Asturias, Principado de;No se necesita ningún trabajador;2013T3;94,8
03 Asturias, Principado de;Elevado coste de contratación;2024T4;5,3
03 Asturias, Principado de;Elevado coste de contratación;2024T3;3,7
03 Asturias, Principado de;Elevado coste de contratación;2024T2;3,8
03 Asturias, Principado de;Elevado coste de contratación;2024T1;3,4
03 Asturias, Principado de;Elevado coste de contratación;2023T4;2,3
03 Asturias, Principado de;Elevado coste de contratación;2023T3;3,2
03 Asturias, Principado de;Elevado coste de contratación;2023T2;5,7
03 Asturias, Principado de;Elevado coste de contratación;2023T1;5
03 Asturias, Principado de;Elevado coste de contratación;2022T4;4,3
03 Asturias, Principado de;Elevado coste de contratación;2022T3;5,1
03 Asturias, Principado de;Elevado coste de contratación;2022T2;2,4
03 Asturias, Principado de;Elevado coste de contratación;2022T1;2
03 Asturias, Principado de;Elevado coste de contratación;2021T4;4
03 Asturias, Principado de;Elevado coste de contratación;2021T3;3,4
03 Asturias, Principado de;Elevado coste de contratación;2021T2;4
03 Asturias, Principado de;Elevado coste de contratación;2021T1;2,5
03 Asturias, Principado de;Elevado coste de contratación;2020T4;2,1
03 Asturias, Principado de;Elevado coste de contratación;2020T3;2,8
03 Asturias, Principado de;Elevado coste de contratación;2020T2;2
03 Asturias, Principado de;Elevado coste de contratación;2020T1;2,6
03 Asturias, Principado de;Elevado coste de contratación;2019T4;4,7
03 Asturias, Principado de;Elevado coste de contratación;2019T3;4
03 Asturias, Principado de;Elevado coste de contratación;2019T2;5,4
03 Asturias, Principado de;Elevado coste de contratación;2019T1;5,8
03 Asturias, Principado de;Elevado coste de contratación;2018T4;6,2
03 Asturias, Principado de;Elevado coste de contratación;2018T3;5,3
03 Asturias, Principado de;Elevado coste de contratación;2018T2;3,9
03 Asturias, Principado de;Elevado coste de contratación;2018T1;2,2
03 Asturias, Principado de;Elevado coste de contratación;2017T4;3,8
03 Asturias, Principado de;Elevado coste de contratación;2017T3;6
03 Asturias, Principado de;Elevado coste de contratación;2017T2;4,7
03 Asturias, Principado de;Elevado coste de contratación;2017T1;4
03 Asturias, Principado de;Elevado coste de contratación;2016T4;3,2
03 Asturias, Principado de;Elevado coste de contratación;2016T3;3,4
03 Asturias, Principado de;Elevado coste de contratación;2016T2;3,7
03 Asturias, Principado de;Elevado coste de contratación;2016T1;3,7
03 Asturias, Principado de;Elevado coste de contratación;2015T4;4,4
03 Asturias, Principado de;Elevado coste de contratación;2015T3;5,5
03 Asturias, Principado de;Elevado coste de contratación;2015T2;4,7
03 Asturias, Principado de;Elevado coste de contratación;2015T1;2,9
03 Asturias, Principado de;Elevado coste de contratación;2014T4;4,6
03 Asturias, Principado de;Elevado coste de contratación;2014T3;4
03 Asturias, Principado de;Elevado coste de contratación;2014T2;5,7
03 Asturias, Principado de;Elevado coste de contratación;2014T1;3,8
03 Asturias, Principado de;Elevado coste de contratación;2013T4;2,9
03 Asturias, Principado de;Elevado coste de contratación;2013T3;4
03 Asturias, Principado de;Otros;2024T4;3,9
03 Asturias, Principado de;Otros;2024T3;2
03 Asturias, Principado de;Otros;2024T2;2,3
03 Asturias, Principado de;Otros;2024T1;3,8
03 Asturias, Principado de;Otros;2023T4;1,7
03 Asturias, Principado de;Otros;2023T3;2,7
03 Asturias, Principado de;Otros;2023T2;2,6
03 Asturias, Principado de;Otros;2023T1;1,8
03 Asturias, Principado de;Otros;2022T4;1,7
03 Asturias, Principado de;Otros;2022T3;2,6
03 Asturias, Principado de;Otros;2022T2;2,4
03 Asturias, Principado de;Otros;2022T1;4,7
03 Asturias, Principado de;Otros;2021T4;2
03 Asturias, Principado de;Otros;2021T3;2,2
03 Asturias, Principado de;Otros;2021T2;1,1
03 Asturias, Principado de;Otros;2021T1;2,9
03 Asturias, Principado de;Otros;2020T4;1
03 Asturias, Principado de;Otros;2020T3;1,1
03 Asturias, Principado de;Otros;2020T2;0,8
03 Asturias, Principado de;Otros;2020T1;0,6
03 Asturias, Principado de;Otros;2019T4;0,4
03 Asturias, Principado de;Otros;2019T3;0,7
03 Asturias, Principado de;Otros;2019T2;1,3
03 Asturias, Principado de;Otros;2019T1;3,1
03 Asturias, Principado de;Otros;2018T4;0,8
03 Asturias, Principado de;Otros;2018T3;1,1
03 Asturias, Principado de;Otros;2018T2;0,9
03 Asturias, Principado de;Otros;2018T1;0,9
03 Asturias, Principado de;Otros;2017T4;0,9
03 Asturias, Principado de;Otros;2017T3;0,8
03 Asturias, Principado de;Otros;2017T2;1
03 Asturias, Principado de;Otros;2017T1;0,8
03 Asturias, Principado de;Otros;2016T4;0,7
03 Asturias, Principado de;Otros;2016T3;1,5
03 Asturias, Principado de;Otros;2016T2;1,6
03 Asturias, Principado de;Otros;2016T1;0,8
03 Asturias, Principado de;Otros;2015T4;1,1
03 Asturias, Principado de;Otros;2015T3;1,7
03 Asturias, Principado de;Otros;2015T2;1
03 Asturias, Principado de;Otros;2015T1;1,6
03 Asturias, Principado de;Otros;2014T4;0,8
03 Asturias, Principado de;Otros;2014T3;2,2
03 Asturias, Principado de;Otros;2014T2;3,1
03 Asturias, Principado de;Otros;2014T1;1,9
03 Asturias, Principado de;Otros;2013T4;2,8
03 Asturias, Principado de;Otros;2013T3;1,1
04 Balears, Illes;Total;2024T4;100
04 Balears, Illes;Total;2024T3;100
04 Balears, Illes;Total;2024T2;100
04 Balears, Illes;Total;2024T1;100
04 Balears, Illes;Total;2023T4;100
04 Balears, Illes;Total;2023T3;100
04 Balears, Illes;Total;2023T2;100
04 Balears, Illes;Total;2023T1;100
04 Balears, Illes;Total;2022T4;100
04 Balears, Illes;Total;2022T3;100
04 Balears, Illes;Total;2022T2;100
04 Balears, Illes;Total;2022T1;100
04 Balears, Illes;Total;2021T4;100
04 Balears, Illes;Total;2021T3;100
04 Balears, Illes;Total;2021T2;100
04 Balears, Illes;Total;2021T1;100
04 Balears, Illes;Total;2020T4;100
04 Balears, Illes;Total;2020T3;100
04 Balears, Illes;Total;2020T2;100
04 Balears, Illes;Total;2020T1;100
04 Balears, Illes;Total;2019T4;100
04 Balears, Illes;Total;2019T3;100
04 Balears, Illes;Total;2019T2;100
04 Balears, Illes;Total;2019T1;100
04 Balears, Illes;Total;2018T4;100
04 Balears, Illes;Total;2018T3;100
04 Balears, Illes;Total;2018T2;100
04 Balears, Illes;Total;2018T1;100
04 Balears, Illes;Total;2017T4;100
04 Balears, Illes;Total;2017T3;100
04 Balears, Illes;Total;2017T2;100
04 Balears, Illes;Total;2017T1;100
04 Balears, Illes;Total;2016T4;100
04 Balears, Illes;Total;2016T3;100
04 Balears, Illes;Total;2016T2;100
04 Balears, Illes;Total;2016T1;100
04 Balears, Illes;Total;2015T4;100
04 Balears, Illes;Total;2015T3;100
04 Balears, Illes;Total;2015T2;100
04 Balears, Illes;Total;2015T1;100
04 Balears, Illes;Total;2014T4;100
04 Balears, Illes;Total;2014T3;100
04 Balears, Illes;Total;2014T2;100
04 Balears, Illes;Total;2014T1;100
04 Balears, Illes;Total;2013T4;100
04 Balears, Illes;Total;2013T3;100
04 Balears, Illes;No se necesita ningún trabajador;2024T4;92,2
04 Balears, Illes;No se necesita ningún trabajador;2024T3;94,2
04 Balears, Illes;No se necesita ningún trabajador;2024T2;92,2
04 Balears, Illes;No se necesita ningún trabajador;2024T1;91,1
04 Balears, Illes;No se necesita ningún trabajador;2023T4;91,7
04 Balears, Illes;No se necesita ningún trabajador;2023T3;92,7
04 Balears, Illes;No se necesita ningún trabajador;2023T2;91,9
04 Balears, Illes;No se necesita ningún trabajador;2023T1;92,4
04 Balears, Illes;No se necesita ningún trabajador;2022T4;94,1
04 Balears, Illes;No se necesita ningún trabajador;2022T3;94,4
04 Balears, Illes;No se necesita ningún trabajador;2022T2;95,2
04 Balears, Illes;No se necesita ningún trabajador;2022T1;95,2
04 Balears, Illes;No se necesita ningún trabajador;2021T4;93,7
04 Balears, Illes;No se necesita ningún trabajador;2021T3;92,8
04 Balears, Illes;No se necesita ningún trabajador;2021T2;91,3
04 Balears, Illes;No se necesita ningún trabajador;2021T1;91,8
04 Balears, Illes;No se necesita ningún trabajador;2020T4;93,5
04 Balears, Illes;No se necesita ningún trabajador;2020T3;92,2
04 Balears, Illes;No se necesita ningún trabajador;2020T2;94,4
04 Balears, Illes;No se necesita ningún trabajador;2020T1;93,9
04 Balears, Illes;No se necesita ningún trabajador;2019T4;93,6
04 Balears, Illes;No se necesita ningún trabajador;2019T3;94
04 Balears, Illes;No se necesita ningún trabajador;2019T2;94,8
04 Balears, Illes;No se necesita ningún trabajador;2019T1;90,3
04 Balears, Illes;No se necesita ningún trabajador;2018T4;92,8
04 Balears, Illes;No se necesita ningún trabajador;2018T3;94,6
04 Balears, Illes;No se necesita ningún trabajador;2018T2;96,2
04 Balears, Illes;No se necesita ningún trabajador;2018T1;94,1
04 Balears, Illes;No se necesita ningún trabajador;2017T4;95,1
04 Balears, Illes;No se necesita ningún trabajador;2017T3;95,8
04 Balears, Illes;No se necesita ningún trabajador;2017T2;94,3
04 Balears, Illes;No se necesita ningún trabajador;2017T1;94,7
04 Balears, Illes;No se necesita ningún trabajador;2016T4;94,6
04 Balears, Illes;No se necesita ningún trabajador;2016T3;93,7
04 Balears, Illes;No se necesita ningún trabajador;2016T2;95,1
04 Balears, Illes;No se necesita ningún trabajador;2016T1;94,9
04 Balears, Illes;No se necesita ningún trabajador;2015T4;91,3
04 Balears, Illes;No se necesita ningún trabajador;2015T3;94,1
04 Balears, Illes;No se necesita ningún trabajador;2015T2;93
04 Balears, Illes;No se necesita ningún trabajador;2015T1;94,4
04 Balears, Illes;No se necesita ningún trabajador;2014T4;93,1
04 Balears, Illes;No se necesita ningún trabajador;2014T3;95,8
04 Balears, Illes;No se necesita ningún trabajador;2014T2;91,3
04 Balears, Illes;No se necesita ningún trabajador;2014T1;91,4
04 Balears, Illes;No se necesita ningún trabajador;2013T4;91,2
04 Balears, Illes;No se necesita ningún trabajador;2013T3;92,9
04 Balears, Illes;Elevado coste de contratación;2024T4;5
04 Balears, Illes;Elevado coste de contratación;2024T3;3,8
04 Balears, Illes;Elevado coste de contratación;2024T2;4,4
04 Balears, Illes;Elevado coste de contratación;2024T1;5,2
04 Balears, Illes;Elevado coste de contratación;2023T4;4,1
04 Balears, Illes;Elevado coste de contratación;2023T3;4,1
04 Balears, Illes;Elevado coste de contratación;2023T2;4,9
04 Balears, Illes;Elevado coste de contratación;2023T1;4,4
04 Balears, Illes;Elevado coste de contratación;2022T4;3,3
04 Balears, Illes;Elevado coste de contratación;2022T3;2,8
04 Balears, Illes;Elevado coste de contratación;2022T2;2,9
04 Balears, Illes;Elevado coste de contratación;2022T1;3,4
04 Balears, Illes;Elevado coste de contratación;2021T4;4,5
04 Balears, Illes;Elevado coste de contratación;2021T3;4,9
04 Balears, Illes;Elevado coste de contratación;2021T2;6,3
04 Balears, Illes;Elevado coste de contratación;2021T1;6,1
04 Balears, Illes;Elevado coste de contratación;2020T4;5,4
04 Balears, Illes;Elevado coste de contratación;2020T3;4,8
04 Balears, Illes;Elevado coste de contratación;2020T2;2,8
04 Balears, Illes;Elevado coste de contratación;2020T1;3,8
04 Balears, Illes;Elevado coste de contratación;2019T4;3
04 Balears, Illes;Elevado coste de contratación;2019T3;4,3
04 Balears, Illes;Elevado coste de contratación;2019T2;3,3
04 Balears, Illes;Elevado coste de contratación;2019T1;4,7
04 Balears, Illes;Elevado coste de contratación;2018T4;5,3
04 Balears, Illes;Elevado coste de contratación;2018T3;3,2
04 Balears, Illes;Elevado coste de contratación;2018T2;2
04 Balears, Illes;Elevado coste de contratación;2018T1;4,8
04 Balears, Illes;Elevado coste de contratación;2017T4;3,3
04 Balears, Illes;Elevado coste de contratación;2017T3;2,2
04 Balears, Illes;Elevado coste de contratación;2017T2;3,6
04 Balears, Illes;Elevado coste de contratación;2017T1;4,3
04 Balears, Illes;Elevado coste de contratación;2016T4;3,5
04 Balears, Illes;Elevado coste de contratación;2016T3;3,7
04 Balears, Illes;Elevado coste de contratación;2016T2;3,9
04 Balears, Illes;Elevado coste de contratación;2016T1;4
04 Balears, Illes;Elevado coste de contratación;2015T4;6,7
04 Balears, Illes;Elevado coste de contratación;2015T3;4,8
04 Balears, Illes;Elevado coste de contratación;2015T2;5,9
04 Balears, Illes;Elevado coste de contratación;2015T1;4,5
04 Balears, Illes;Elevado coste de contratación;2014T4;3
04 Balears, Illes;Elevado coste de contratación;2014T3;3,1
04 Balears, Illes;Elevado coste de contratación;2014T2;5,7
04 Balears, Illes;Elevado coste de contratación;2014T1;7,6
04 Balears, Illes;Elevado coste de contratación;2013T4;7,7
04 Balears, Illes;Elevado coste de contratación;2013T3;5,2
04 Balears, Illes;Otros;2024T4;2,8
04 Balears, Illes;Otros;2024T3;2
04 Balears, Illes;Otros;2024T2;3,4
04 Balears, Illes;Otros;2024T1;3,7
04 Balears, Illes;Otros;2023T4;4,2
04 Balears, Illes;Otros;2023T3;3,2
04 Balears, Illes;Otros;2023T2;3,2
04 Balears, Illes;Otros;2023T1;3,2
04 Balears, Illes;Otros;2022T4;2,6
04 Balears, Illes;Otros;2022T3;2,8
04 Balears, Illes;Otros;2022T2;1,9
04 Balears, Illes;Otros;2022T1;1,4
04 Balears, Illes;Otros;2021T4;1,8
04 Balears, Illes;Otros;2021T3;2,3
04 Balears, Illes;Otros;2021T2;2,4
04 Balears, Illes;Otros;2021T1;2,1
04 Balears, Illes;Otros;2020T4;1,1
04 Balears, Illes;Otros;2020T3;3
04 Balears, Illes;Otros;2020T2;2,8
04 Balears, Illes;Otros;2020T1;2,3
04 Balears, Illes;Otros;2019T4;3,4
04 Balears, Illes;Otros;2019T3;1,7
04 Balears, Illes;Otros;2019T2;1,9
04 Balears, Illes;Otros;2019T1;5
04 Balears, Illes;Otros;2018T4;1,9
04 Balears, Illes;Otros;2018T3;2,2
04 Balears, Illes;Otros;2018T2;1,8
04 Balears, Illes;Otros;2018T1;1,1
04 Balears, Illes;Otros;2017T4;1,6
04 Balears, Illes;Otros;2017T3;2
04 Balears, Illes;Otros;2017T2;2,1
04 Balears, Illes;Otros;2017T1;1
04 Balears, Illes;Otros;2016T4;1,9
04 Balears, Illes;Otros;2016T3;2,6
04 Balears, Illes;Otros;2016T2;1
04 Balears, Illes;Otros;2016T1;1,1
04 Balears, Illes;Otros;2015T4;2
04 Balears, Illes;Otros;2015T3;1,1
04 Balears, Illes;Otros;2015T2;1,1
04 Balears, Illes;Otros;2015T1;1,1
04 Balears, Illes;Otros;2014T4;3,9
04 Balears, Illes;Otros;2014T3;1,1
04 Balears, Illes;Otros;2014T2;3
04 Balears, Illes;Otros;2014T1;1,1
04 Balears, Illes;Otros;2013T4;1,2
04 Balears, Illes;Otros;2013T3;1,9
05 Canarias;Total;2024T4;100
05 Canarias;Total;2024T3;100
05 Canarias;Total;2024T2;100
05 Canarias;Total;2024T1;100
05 Canarias;Total;2023T4;100
05 Canarias;Total;2023T3;100
05 Canarias;Total;2023T2;100
05 Canarias;Total;2023T1;100
05 Canarias;Total;2022T4;100
05 Canarias;Total;2022T3;100
05 Canarias;Total;2022T2;100
05 Canarias;Total;2022T1;100
05 Canarias;Total;2021T4;100
05 Canarias;Total;2021T3;100
05 Canarias;Total;2021T2;100
05 Canarias;Total;2021T1;100
05 Canarias;Total;2020T4;100
05 Canarias;Total;2020T3;100
05 Canarias;Total;2020T2;100
05 Canarias;Total;2020T1;100
05 Canarias;Total;2019T4;100
05 Canarias;Total;2019T3;100
05 Canarias;Total;2019T2;100
05 Canarias;Total;2019T1;100
05 Canarias;Total;2018T4;100
05 Canarias;Total;2018T3;100
05 Canarias;Total;2018T2;100
05 Canarias;Total;2018T1;100
05 Canarias;Total;2017T4;100
05 Canarias;Total;2017T3;100
05 Canarias;Total;2017T2;100
05 Canarias;Total;2017T1;100
05 Canarias;Total;2016T4;100
05 Canarias;Total;2016T3;100
05 Canarias;Total;2016T2;100
05 Canarias;Total;2016T1;100
05 Canarias;Total;2015T4;100
05 Canarias;Total;2015T3;100
05 Canarias;Total;2015T2;100
05 Canarias;Total;2015T1;100
05 Canarias;Total;2014T4;100
05 Canarias;Total;2014T3;100
05 Canarias;Total;2014T2;100
05 Canarias;Total;2014T1;100
05 Canarias;Total;2013T4;100
05 Canarias;Total;2013T3;100
05 Canarias;No se necesita ningún trabajador;2024T4;88,1
05 Canarias;No se necesita ningún trabajador;2024T3;90,4
05 Canarias;No se necesita ningún trabajador;2024T2;90,1
05 Canarias;No se necesita ningún trabajador;2024T1;94,1
05 Canarias;No se necesita ningún trabajador;2023T4;92,6
05 Canarias;No se necesita ningún trabajador;2023T3;92,4
05 Canarias;No se necesita ningún trabajador;2023T2;92,9
05 Canarias;No se necesita ningún trabajador;2023T1;92
05 Canarias;No se necesita ningún trabajador;2022T4;91,3
05 Canarias;No se necesita ningún trabajador;2022T3;95,3
05 Canarias;No se necesita ningún trabajador;2022T2;93,7
05 Canarias;No se necesita ningún trabajador;2022T1;94,8
05 Canarias;No se necesita ningún trabajador;2021T4;96,8
05 Canarias;No se necesita ningún trabajador;2021T3;95,9
05 Canarias;No se necesita ningún trabajador;2021T2;95,7
05 Canarias;No se necesita ningún trabajador;2021T1;95,5
05 Canarias;No se necesita ningún trabajador;2020T4;96
05 Canarias;No se necesita ningún trabajador;2020T3;92,8
05 Canarias;No se necesita ningún trabajador;2020T2;91,4
05 Canarias;No se necesita ningún trabajador;2020T1;94,5
05 Canarias;No se necesita ningún trabajador;2019T4;90,2
05 Canarias;No se necesita ningún trabajador;2019T3;91,8
05 Canarias;No se necesita ningún trabajador;2019T2;88,2
05 Canarias;No se necesita ningún trabajador;2019T1;89,7
05 Canarias;No se necesita ningún trabajador;2018T4;87,7
05 Canarias;No se necesita ningún trabajador;2018T3;89,5
05 Canarias;No se necesita ningún trabajador;2018T2;94,3
05 Canarias;No se necesita ningún trabajador;2018T1;92,1
05 Canarias;No se necesita ningún trabajador;2017T4;91,1
05 Canarias;No se necesita ningún trabajador;2017T3;92,4
05 Canarias;No se necesita ningún trabajador;2017T2;90,9
05 Canarias;No se necesita ningún trabajador;2017T1;89
05 Canarias;No se necesita ningún trabajador;2016T4;89,4
05 Canarias;No se necesita ningún trabajador;2016T3;91,7
05 Canarias;No se necesita ningún trabajador;2016T2;87
05 Canarias;No se necesita ningún trabajador;2016T1;89,4
05 Canarias;No se necesita ningún trabajador;2015T4;89,6
05 Canarias;No se necesita ningún trabajador;2015T3;91,7
05 Canarias;No se necesita ningún trabajador;2015T2;88,6
05 Canarias;No se necesita ningún trabajador;2015T1;90,7
05 Canarias;No se necesita ningún trabajador;2014T4;86,5
05 Canarias;No se necesita ningún trabajador;2014T3;88,8
05 Canarias;No se necesita ningún trabajador;2014T2;88,1
05 Canarias;No se necesita ningún trabajador;2014T1;90,4
05 Canarias;No se necesita ningún trabajador;2013T4;88,8
05 Canarias;No se necesita ningún trabajador;2013T3;91,4
05 Canarias;Elevado coste de contratación;2024T4;6
05 Canarias;Elevado coste de contratación;2024T3;5,3
05 Canarias;Elevado coste de contratación;2024T2;5,1
05 Canarias;Elevado coste de contratación;2024T1;3,3
05 Canarias;Elevado coste de contratación;2023T4;4,4
05 Canarias;Elevado coste de contratación;2023T3;4,2
05 Canarias;Elevado coste de contratación;2023T2;3,9
05 Canarias;Elevado coste de contratación;2023T1;4,9
05 Canarias;Elevado coste de contratación;2022T4;5,6
05 Canarias;Elevado coste de contratación;2022T3;2,5
05 Canarias;Elevado coste de contratación;2022T2;4,1
05 Canarias;Elevado coste de contratación;2022T1;3
05 Canarias;Elevado coste de contratación;2021T4;1,6
05 Canarias;Elevado coste de contratación;2021T3;2,1
05 Canarias;Elevado coste de contratación;2021T2;1,9
05 Canarias;Elevado coste de contratación;2021T1;2,9
05 Canarias;Elevado coste de contratación;2020T4;2,5
05 Canarias;Elevado coste de contratación;2020T3;4,4
05 Canarias;Elevado coste de contratación;2020T2;4,3
05 Canarias;Elevado coste de contratación;2020T1;2,9
05 Canarias;Elevado coste de contratación;2019T4;8
05 Canarias;Elevado coste de contratación;2019T3;6,1
05 Canarias;Elevado coste de contratación;2019T2;7,5
05 Canarias;Elevado coste de contratación;2019T1;8,8
05 Canarias;Elevado coste de contratación;2018T4;9,5
05 Canarias;Elevado coste de contratación;2018T3;8,8
05 Canarias;Elevado coste de contratación;2018T2;2,8
05 Canarias;Elevado coste de contratación;2018T1;5,8
05 Canarias;Elevado coste de contratación;2017T4;6,1
05 Canarias;Elevado coste de contratación;2017T3;5,8
05 Canarias;Elevado coste de contratación;2017T2;6,9
05 Canarias;Elevado coste de contratación;2017T1;8,3
05 Canarias;Elevado coste de contratación;2016T4;6,8
05 Canarias;Elevado coste de contratación;2016T3;6,7
05 Canarias;Elevado coste de contratación;2016T2;10,2
05 Canarias;Elevado coste de contratación;2016T1;8,6
05 Canarias;Elevado coste de contratación;2015T4;9,2
05 Canarias;Elevado coste de contratación;2015T3;6,7
05 Canarias;Elevado coste de contratación;2015T2;9,7
05 Canarias;Elevado coste de contratación;2015T1;6,5
05 Canarias;Elevado coste de contratación;2014T4;10,7
05 Canarias;Elevado coste de contratación;2014T3;9,1
05 Canarias;Elevado coste de contratación;2014T2;9,6
05 Canarias;Elevado coste de contratación;2014T1;5,4
05 Canarias;Elevado coste de contratación;2013T4;8
05 Canarias;Elevado coste de contratación;2013T3;3,7
05 Canarias;Otros;2024T4;5,9
05 Canarias;Otros;2024T3;4,3
05 Canarias;Otros;2024T2;4,8
05 Canarias;Otros;2024T1;2,6
05 Canarias;Otros;2023T4;3
05 Canarias;Otros;2023T3;3,4
05 Canarias;Otros;2023T2;3,2
05 Canarias;Otros;2023T1;3,1
05 Canarias;Otros;2022T4;3,1
05 Canarias;Otros;2022T3;2,2
05 Canarias;Otros;2022T2;2,2
05 Canarias;Otros;2022T1;2,2
05 Canarias;Otros;2021T4;1,6
05 Canarias;Otros;2021T3;2
05 Canarias;Otros;2021T2;2,4
05 Canarias;Otros;2021T1;1,6
05 Canarias;Otros;2020T4;1,5
05 Canarias;Otros;2020T3;2,8
05 Canarias;Otros;2020T2;4,3
05 Canarias;Otros;2020T1;2,6
05 Canarias;Otros;2019T4;1,8
05 Canarias;Otros;2019T3;2,1
05 Canarias;Otros;2019T2;4,3
05 Canarias;Otros;2019T1;1,5
05 Canarias;Otros;2018T4;2,8
05 Canarias;Otros;2018T3;1,7
05 Canarias;Otros;2018T2;2,9
05 Canarias;Otros;2018T1;2,1
05 Canarias;Otros;2017T4;2,8
05 Canarias;Otros;2017T3;1,8
05 Canarias;Otros;2017T2;2,2
05 Canarias;Otros;2017T1;2,7
05 Canarias;Otros;2016T4;3,8
05 Canarias;Otros;2016T3;1,6
05 Canarias;Otros;2016T2;2,8
05 Canarias;Otros;2016T1;2
05 Canarias;Otros;2015T4;1,2
05 Canarias;Otros;2015T3;1,6
05 Canarias;Otros;2015T2;1,7
05 Canarias;Otros;2015T1;2,8
05 Canarias;Otros;2014T4;2,8
05 Canarias;Otros;2014T3;2,1
05 Canarias;Otros;2014T2;2,3
05 Canarias;Otros;2014T1;4,2
05 Canarias;Otros;2013T4;3,2
05 Canarias;Otros;2013T3;5
06 Cantabria;Total;2024T4;100
06 Cantabria;Total;2024T3;100
06 Cantabria;Total;2024T2;100
06 Cantabria;Total;2024T1;100
06 Cantabria;Total;2023T4;100
06 Cantabria;Total;2023T3;100
06 Cantabria;Total;2023T2;100
06 Cantabria;Total;2023T1;100
06 Cantabria;Total;2022T4;100
06 Cantabria;Total;2022T3;100
06 Cantabria;Total;2022T2;100
06 Cantabria;Total;2022T1;100
06 Cantabria;Total;2021T4;100
06 Cantabria;Total;2021T3;100
06 Cantabria;Total;2021T2;100
06 Cantabria;Total;2021T1;100
06 Cantabria;Total;2020T4;100
06 Cantabria;Total;2020T3;100
06 Cantabria;Total;2020T2;100
06 Cantabria;Total;2020T1;100
06 Cantabria;Total;2019T4;100
06 Cantabria;Total;2019T3;100
06 Cantabria;Total;2019T2;100
06 Cantabria;Total;2019T1;100
06 Cantabria;Total;2018T4;100
06 Cantabria;Total;2018T3;100
06 Cantabria;Total;2018T2;100
06 Cantabria;Total;2018T1;100
06 Cantabria;Total;2017T4;100
06 Cantabria;Total;2017T3;100
06 Cantabria;Total;2017T2;100
06 Cantabria;Total;2017T1;100
06 Cantabria;Total;2016T4;100
06 Cantabria;Total;2016T3;100
06 Cantabria;Total;2016T2;100
06 Cantabria;Total;2016T1;100
06 Cantabria;Total;2015T4;100
06 Cantabria;Total;2015T3;100
06 Cantabria;Total;2015T2;100
