Comunidades y Ciudades Autónomas;Sectores de actividad CNAE 2009;Componentes del coste;Periodo;Total
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2012T1;18,58
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2011T4;20,28
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2011T3;16,28
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2011T2;17,02
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2011T1;16,2
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2010T4;20,55
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2010T3;16,61
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2010T2;17,07
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2010T1;16,69
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2009T4;19,35
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2009T3;15,98
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2009T2;15,95
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2009T1;14,16
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2008T4;17,05
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2008T3;14,45
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2008T2;15,08
01 Andalucía;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Subvenciones y bonificaciones de la S.Social;2008T1;15
01 Andalucía;Industria;Coste laboral total;2024T4;3.205,3
01 Andalucía;Industria;Coste laboral total;2024T3;3.154,43
01 Andalucía;Industria;Coste laboral total;2024T2;3.220,11
01 Andalucía;Industria;Coste laboral total;2024T1;3.030,33
01 Andalucía;Industria;Coste laboral total;2023T4;3.083,81
01 Andalucía;Industria;Coste laboral total;2023T3;2.964,24
01 Andalucía;Industria;Coste laboral total;2023T2;2.980,22
01 Andalucía;Industria;Coste laboral total;2023T1;2.857,88
01 Andalucía;Industria;Coste laboral total;2022T4;2.917,68
01 Andalucía;Industria;Coste laboral total;2022T3;2.845,36
01 Andalucía;Industria;Coste laboral total;2022T2;2.944,27
01 Andalucía;Industria;Coste laboral total;2022T1;2.699,93
01 Andalucía;Industria;Coste laboral total;2021T4;2.795,32
01 Andalucía;Industria;Coste laboral total;2021T3;2.734,6
01 Andalucía;Industria;Coste laboral total;2021T2;2.822,82
01 Andalucía;Industria;Coste laboral total;2021T1;2.610,63
01 Andalucía;Industria;Coste laboral total;2020T4;2.721,22
01 Andalucía;Industria;Coste laboral total;2020T3;2.595,36
01 Andalucía;Industria;Coste laboral total;2020T2;2.523,74
01 Andalucía;Industria;Coste laboral total;2020T1;2.500,22
01 Andalucía;Industria;Coste laboral total;2019T4;2.730,37
01 Andalucía;Industria;Coste laboral total;2019T3;2.652,62
01 Andalucía;Industria;Coste laboral total;2019T2;2.789,05
01 Andalucía;Industria;Coste laboral total;2019T1;2.600,84
01 Andalucía;Industria;Coste laboral total;2018T4;2.804,53
01 Andalucía;Industria;Coste laboral total;2018T3;2.747,48
01 Andalucía;Industria;Coste laboral total;2018T2;2.859,97
01 Andalucía;Industria;Coste laboral total;2018T1;2.646,2
01 Andalucía;Industria;Coste laboral total;2017T4;2.828,7
01 Andalucía;Industria;Coste laboral total;2017T3;2.659,9
01 Andalucía;Industria;Coste laboral total;2017T2;2.871,09
01 Andalucía;Industria;Coste laboral total;2017T1;2.679,37
01 Andalucía;Industria;Coste laboral total;2016T4;2.827,99
01 Andalucía;Industria;Coste laboral total;2016T3;2.756,32
01 Andalucía;Industria;Coste laboral total;2016T2;2.826,62
01 Andalucía;Industria;Coste laboral total;2016T1;2.695,96
01 Andalucía;Industria;Coste laboral total;2015T4;2.889,89
01 Andalucía;Industria;Coste laboral total;2015T3;2.803,33
01 Andalucía;Industria;Coste laboral total;2015T2;2.868,47
01 Andalucía;Industria;Coste laboral total;2015T1;2.703,08
01 Andalucía;Industria;Coste laboral total;2014T4;2.950,29
01 Andalucía;Industria;Coste laboral total;2014T3;2.805,03
01 Andalucía;Industria;Coste laboral total;2014T2;2.884,37
01 Andalucía;Industria;Coste laboral total;2014T1;2.711,16
01 Andalucía;Industria;Coste laboral total;2013T4;2.855,95
01 Andalucía;Industria;Coste laboral total;2013T3;2.785,37
01 Andalucía;Industria;Coste laboral total;2013T2;2.841,2
01 Andalucía;Industria;Coste laboral total;2013T1;2.681,51
01 Andalucía;Industria;Coste laboral total;2012T4;2.769,95
01 Andalucía;Industria;Coste laboral total;2012T3;2.659,37
01 Andalucía;Industria;Coste laboral total;2012T2;2.771,21
01 Andalucía;Industria;Coste laboral total;2012T1;2.629,33
01 Andalucía;Industria;Coste laboral total;2011T4;2.781,57
01 Andalucía;Industria;Coste laboral total;2011T3;2.605,23
01 Andalucía;Industria;Coste laboral total;2011T2;2.604,97
01 Andalucía;Industria;Coste laboral total;2011T1;2.532,81
01 Andalucía;Industria;Coste laboral total;2010T4;2.799,07
01 Andalucía;Industria;Coste laboral total;2010T3;2.564,11
01 Andalucía;Industria;Coste laboral total;2010T2;2.627,26
01 Andalucía;Industria;Coste laboral total;2010T1;2.478,64
01 Andalucía;Industria;Coste laboral total;2009T4;2.634,77
01 Andalucía;Industria;Coste laboral total;2009T3;2.466,93
01 Andalucía;Industria;Coste laboral total;2009T2;2.520,93
01 Andalucía;Industria;Coste laboral total;2009T1;2.407,9
01 Andalucía;Industria;Coste laboral total;2008T4;2.639,83
01 Andalucía;Industria;Coste laboral total;2008T3;2.462,77
01 Andalucía;Industria;Coste laboral total;2008T2;2.437,13
01 Andalucía;Industria;Coste laboral total;2008T1;2.356,75
01 Andalucía;Industria;Coste salarial total;2024T4;2.329,84
01 Andalucía;Industria;Coste salarial total;2024T3;2.282,92
01 Andalucía;Industria;Coste salarial total;2024T2;2.352,03
01 Andalucía;Industria;Coste salarial total;2024T1;2.170,34
01 Andalucía;Industria;Coste salarial total;2023T4;2.242,42
01 Andalucía;Industria;Coste salarial total;2023T3;2.156,22
01 Andalucía;Industria;Coste salarial total;2023T2;2.170,06
01 Andalucía;Industria;Coste salarial total;2023T1;2.059,14
01 Andalucía;Industria;Coste salarial total;2022T4;2.154,91
01 Andalucía;Industria;Coste salarial total;2022T3;2.073,08
01 Andalucía;Industria;Coste salarial total;2022T2;2.165,73
01 Andalucía;Industria;Coste salarial total;2022T1;1.941,67
01 Andalucía;Industria;Coste salarial total;2021T4;2.040,74
01 Andalucía;Industria;Coste salarial total;2021T3;1.965,96
01 Andalucía;Industria;Coste salarial total;2021T2;2.047,57
01 Andalucía;Industria;Coste salarial total;2021T1;1.857,27
01 Andalucía;Industria;Coste salarial total;2020T4;1.976,08
01 Andalucía;Industria;Coste salarial total;2020T3;1.873,09
01 Andalucía;Industria;Coste salarial total;2020T2;1.822,58
01 Andalucía;Industria;Coste salarial total;2020T1;1.795,54
01 Andalucía;Industria;Coste salarial total;2019T4;1.991,19
01 Andalucía;Industria;Coste salarial total;2019T3;1.932,66
01 Andalucía;Industria;Coste salarial total;2019T2;2.044,64
01 Andalucía;Industria;Coste salarial total;2019T1;1.877,57
01 Andalucía;Industria;Coste salarial total;2018T4;2.072,67
01 Andalucía;Industria;Coste salarial total;2018T3;1.988,61
01 Andalucía;Industria;Coste salarial total;2018T2;2.124,11
01 Andalucía;Industria;Coste salarial total;2018T1;1.913,96
01 Andalucía;Industria;Coste salarial total;2017T4;2.092,23
01 Andalucía;Industria;Coste salarial total;2017T3;1.945,72
01 Andalucía;Industria;Coste salarial total;2017T2;2.130,63
01 Andalucía;Industria;Coste salarial total;2017T1;1.945,43
01 Andalucía;Industria;Coste salarial total;2016T4;2.089,63
01 Andalucía;Industria;Coste salarial total;2016T3;2.020,92
01 Andalucía;Industria;Coste salarial total;2016T2;2.105,78
01 Andalucía;Industria;Coste salarial total;2016T1;1.934,87
01 Andalucía;Industria;Coste salarial total;2015T4;2.138,91
01 Andalucía;Industria;Coste salarial total;2015T3;2.041,04
01 Andalucía;Industria;Coste salarial total;2015T2;2.134,99
01 Andalucía;Industria;Coste salarial total;2015T1;1.946,22
01 Andalucía;Industria;Coste salarial total;2014T4;2.136,39
01 Andalucía;Industria;Coste salarial total;2014T3;2.054,46
01 Andalucía;Industria;Coste salarial total;2014T2;2.119,66
01 Andalucía;Industria;Coste salarial total;2014T1;1.939,96
01 Andalucía;Industria;Coste salarial total;2013T4;2.109,08
01 Andalucía;Industria;Coste salarial total;2013T3;2.023,62
01 Andalucía;Industria;Coste salarial total;2013T2;2.069,8
01 Andalucía;Industria;Coste salarial total;2013T1;1.897,87
01 Andalucía;Industria;Coste salarial total;2012T4;2.030,44
01 Andalucía;Industria;Coste salarial total;2012T3;1.948,08
01 Andalucía;Industria;Coste salarial total;2012T2;1.991,3
01 Andalucía;Industria;Coste salarial total;2012T1;1.855,13
01 Andalucía;Industria;Coste salarial total;2011T4;2.048,44
01 Andalucía;Industria;Coste salarial total;2011T3;1.891,39
01 Andalucía;Industria;Coste salarial total;2011T2;1.917,08
01 Andalucía;Industria;Coste salarial total;2011T1;1.824,36
01 Andalucía;Industria;Coste salarial total;2010T4;2.045,01
01 Andalucía;Industria;Coste salarial total;2010T3;1.877,26
01 Andalucía;Industria;Coste salarial total;2010T2;1.864,31
01 Andalucía;Industria;Coste salarial total;2010T1;1.785,79
01 Andalucía;Industria;Coste salarial total;2009T4;1.939,72
01 Andalucía;Industria;Coste salarial total;2009T3;1.792,46
01 Andalucía;Industria;Coste salarial total;2009T2;1.807,17
01 Andalucía;Industria;Coste salarial total;2009T1;1.696,75
01 Andalucía;Industria;Coste salarial total;2008T4;1.935,66
01 Andalucía;Industria;Coste salarial total;2008T3;1.772,64
01 Andalucía;Industria;Coste salarial total;2008T2;1.761,04
01 Andalucía;Industria;Coste salarial total;2008T1;1.690,67
01 Andalucía;Industria;Coste salarial ordinario;2024T4;2.013,52
01 Andalucía;Industria;Coste salarial ordinario;2024T3;1.988,54
01 Andalucía;Industria;Coste salarial ordinario;2024T2;1.992,06
01 Andalucía;Industria;Coste salarial ordinario;2024T1;1.941,9
01 Andalucía;Industria;Coste salarial ordinario;2023T4;1.917,93
01 Andalucía;Industria;Coste salarial ordinario;2023T3;1.900,57
01 Andalucía;Industria;Coste salarial ordinario;2023T2;1.852,07
01 Andalucía;Industria;Coste salarial ordinario;2023T1;1.863,13
01 Andalucía;Industria;Coste salarial ordinario;2022T4;1.834,4
01 Andalucía;Industria;Coste salarial ordinario;2022T3;1.827,22
01 Andalucía;Industria;Coste salarial ordinario;2022T2;1.804,73
01 Andalucía;Industria;Coste salarial ordinario;2022T1;1.737,83
01 Andalucía;Industria;Coste salarial ordinario;2021T4;1.749,35
01 Andalucía;Industria;Coste salarial ordinario;2021T3;1.746,45
01 Andalucía;Industria;Coste salarial ordinario;2021T2;1.733,03
01 Andalucía;Industria;Coste salarial ordinario;2021T1;1.680,34
01 Andalucía;Industria;Coste salarial ordinario;2020T4;1.697,33
01 Andalucía;Industria;Coste salarial ordinario;2020T3;1.649,24
01 Andalucía;Industria;Coste salarial ordinario;2020T2;1.524,67
01 Andalucía;Industria;Coste salarial ordinario;2020T1;1.648,94
01 Andalucía;Industria;Coste salarial ordinario;2019T4;1.688,13
01 Andalucía;Industria;Coste salarial ordinario;2019T3;1.683,34
01 Andalucía;Industria;Coste salarial ordinario;2019T2;1.681,42
01 Andalucía;Industria;Coste salarial ordinario;2019T1;1.681,14
01 Andalucía;Industria;Coste salarial ordinario;2018T4;1.731,36
01 Andalucía;Industria;Coste salarial ordinario;2018T3;1.724,73
01 Andalucía;Industria;Coste salarial ordinario;2018T2;1.738,36
01 Andalucía;Industria;Coste salarial ordinario;2018T1;1.709,96
01 Andalucía;Industria;Coste salarial ordinario;2017T4;1.704,5
01 Andalucía;Industria;Coste salarial ordinario;2017T3;1.696,02
01 Andalucía;Industria;Coste salarial ordinario;2017T2;1.718,75
01 Andalucía;Industria;Coste salarial ordinario;2017T1;1.710,22
01 Andalucía;Industria;Coste salarial ordinario;2016T4;1.706,07
01 Andalucía;Industria;Coste salarial ordinario;2016T3;1.709,79
01 Andalucía;Industria;Coste salarial ordinario;2016T2;1.721,94
01 Andalucía;Industria;Coste salarial ordinario;2016T1;1.731,64
01 Andalucía;Industria;Coste salarial ordinario;2015T4;1.733,2
01 Andalucía;Industria;Coste salarial ordinario;2015T3;1.741,78
01 Andalucía;Industria;Coste salarial ordinario;2015T2;1.732,22
01 Andalucía;Industria;Coste salarial ordinario;2015T1;1.742,2
01 Andalucía;Industria;Coste salarial ordinario;2014T4;1.735,5
01 Andalucía;Industria;Coste salarial ordinario;2014T3;1.755,59
01 Andalucía;Industria;Coste salarial ordinario;2014T2;1.739,67
01 Andalucía;Industria;Coste salarial ordinario;2014T1;1.740,24
01 Andalucía;Industria;Coste salarial ordinario;2013T4;1.713,89
01 Andalucía;Industria;Coste salarial ordinario;2013T3;1.736,43
01 Andalucía;Industria;Coste salarial ordinario;2013T2;1.716,23
01 Andalucía;Industria;Coste salarial ordinario;2013T1;1.682,37
01 Andalucía;Industria;Coste salarial ordinario;2012T4;1.674,29
01 Andalucía;Industria;Coste salarial ordinario;2012T3;1.681,27
01 Andalucía;Industria;Coste salarial ordinario;2012T2;1.681,39
01 Andalucía;Industria;Coste salarial ordinario;2012T1;1.673,1
01 Andalucía;Industria;Coste salarial ordinario;2011T4;1.654,08
01 Andalucía;Industria;Coste salarial ordinario;2011T3;1.644,71
01 Andalucía;Industria;Coste salarial ordinario;2011T2;1.637,06
01 Andalucía;Industria;Coste salarial ordinario;2011T1;1.624,31
01 Andalucía;Industria;Coste salarial ordinario;2010T4;1.628,88
01 Andalucía;Industria;Coste salarial ordinario;2010T3;1.602,12
01 Andalucía;Industria;Coste salarial ordinario;2010T2;1.593,05
01 Andalucía;Industria;Coste salarial ordinario;2010T1;1.614
01 Andalucía;Industria;Coste salarial ordinario;2009T4;1.567,58
01 Andalucía;Industria;Coste salarial ordinario;2009T3;1.563,09
01 Andalucía;Industria;Coste salarial ordinario;2009T2;1.556,12
01 Andalucía;Industria;Coste salarial ordinario;2009T1;1.534,69
01 Andalucía;Industria;Coste salarial ordinario;2008T4;1.550,7
01 Andalucía;Industria;Coste salarial ordinario;2008T3;1.565,33
01 Andalucía;Industria;Coste salarial ordinario;2008T2;1.530,08
01 Andalucía;Industria;Coste salarial ordinario;2008T1;1.515,9
01 Andalucía;Industria;Otros costes;2024T4;875,46
01 Andalucía;Industria;Otros costes;2024T3;871,51
01 Andalucía;Industria;Otros costes;2024T2;868,08
01 Andalucía;Industria;Otros costes;2024T1;859,99
01 Andalucía;Industria;Otros costes;2023T4;841,39
01 Andalucía;Industria;Otros costes;2023T3;808,02
01 Andalucía;Industria;Otros costes;2023T2;810,16
01 Andalucía;Industria;Otros costes;2023T1;798,74
01 Andalucía;Industria;Otros costes;2022T4;762,77
01 Andalucía;Industria;Otros costes;2022T3;772,28
01 Andalucía;Industria;Otros costes;2022T2;778,54
01 Andalucía;Industria;Otros costes;2022T1;758,26
01 Andalucía;Industria;Otros costes;2021T4;754,58
01 Andalucía;Industria;Otros costes;2021T3;768,64
01 Andalucía;Industria;Otros costes;2021T2;775,25
01 Andalucía;Industria;Otros costes;2021T1;753,36
01 Andalucía;Industria;Otros costes;2020T4;745,14
01 Andalucía;Industria;Otros costes;2020T3;722,27
01 Andalucía;Industria;Otros costes;2020T2;701,16
01 Andalucía;Industria;Otros costes;2020T1;704,68
01 Andalucía;Industria;Otros costes;2019T4;739,18
01 Andalucía;Industria;Otros costes;2019T3;719,96
01 Andalucía;Industria;Otros costes;2019T2;744,41
01 Andalucía;Industria;Otros costes;2019T1;723,27
01 Andalucía;Industria;Otros costes;2018T4;731,86
01 Andalucía;Industria;Otros costes;2018T3;758,87
01 Andalucía;Industria;Otros costes;2018T2;735,86
01 Andalucía;Industria;Otros costes;2018T1;732,24
01 Andalucía;Industria;Otros costes;2017T4;736,47
01 Andalucía;Industria;Otros costes;2017T3;714,18
01 Andalucía;Industria;Otros costes;2017T2;740,46
01 Andalucía;Industria;Otros costes;2017T1;733,94
01 Andalucía;Industria;Otros costes;2016T4;738,36
01 Andalucía;Industria;Otros costes;2016T3;735,4
01 Andalucía;Industria;Otros costes;2016T2;720,84
01 Andalucía;Industria;Otros costes;2016T1;761,09
01 Andalucía;Industria;Otros costes;2015T4;750,98
01 Andalucía;Industria;Otros costes;2015T3;762,29
01 Andalucía;Industria;Otros costes;2015T2;733,48
01 Andalucía;Industria;Otros costes;2015T1;756,86
01 Andalucía;Industria;Otros costes;2014T4;813,9
01 Andalucía;Industria;Otros costes;2014T3;750,57
01 Andalucía;Industria;Otros costes;2014T2;764,71
01 Andalucía;Industria;Otros costes;2014T1;771,2
01 Andalucía;Industria;Otros costes;2013T4;746,87
01 Andalucía;Industria;Otros costes;2013T3;761,75
01 Andalucía;Industria;Otros costes;2013T2;771,4
01 Andalucía;Industria;Otros costes;2013T1;783,64
01 Andalucía;Industria;Otros costes;2012T4;739,51
01 Andalucía;Industria;Otros costes;2012T3;711,29
01 Andalucía;Industria;Otros costes;2012T2;779,91
01 Andalucía;Industria;Otros costes;2012T1;774,2
01 Andalucía;Industria;Otros costes;2011T4;733,13
01 Andalucía;Industria;Otros costes;2011T3;713,84
01 Andalucía;Industria;Otros costes;2011T2;687,89
01 Andalucía;Industria;Otros costes;2011T1;708,45
01 Andalucía;Industria;Otros costes;2010T4;754,06
01 Andalucía;Industria;Otros costes;2010T3;686,85
01 Andalucía;Industria;Otros costes;2010T2;762,95
01 Andalucía;Industria;Otros costes;2010T1;692,85
01 Andalucía;Industria;Otros costes;2009T4;695,05
01 Andalucía;Industria;Otros costes;2009T3;674,47
01 Andalucía;Industria;Otros costes;2009T2;713,76
01 Andalucía;Industria;Otros costes;2009T1;711,15
01 Andalucía;Industria;Otros costes;2008T4;704,17
01 Andalucía;Industria;Otros costes;2008T3;690,13
01 Andalucía;Industria;Otros costes;2008T2;676,09
01 Andalucía;Industria;Otros costes;2008T1;666,08
01 Andalucía;Industria;Coste por percepciones no salariales;2024T4;72,44
01 Andalucía;Industria;Coste por percepciones no salariales;2024T3;67,17
01 Andalucía;Industria;Coste por percepciones no salariales;2024T2;78,15
01 Andalucía;Industria;Coste por percepciones no salariales;2024T1;80,48
01 Andalucía;Industria;Coste por percepciones no salariales;2023T4;89,3
01 Andalucía;Industria;Coste por percepciones no salariales;2023T3;67,31
01 Andalucía;Industria;Coste por percepciones no salariales;2023T2;78,17
01 Andalucía;Industria;Coste por percepciones no salariales;2023T1;61,83
01 Andalucía;Industria;Coste por percepciones no salariales;2022T4;64,51
01 Andalucía;Industria;Coste por percepciones no salariales;2022T3;63,22
01 Andalucía;Industria;Coste por percepciones no salariales;2022T2;71,62
01 Andalucía;Industria;Coste por percepciones no salariales;2022T1;68,8
01 Andalucía;Industria;Coste por percepciones no salariales;2021T4;72,25
01 Andalucía;Industria;Coste por percepciones no salariales;2021T3;88,4
01 Andalucía;Industria;Coste por percepciones no salariales;2021T2;101,92
01 Andalucía;Industria;Coste por percepciones no salariales;2021T1;92,48
01 Andalucía;Industria;Coste por percepciones no salariales;2020T4;78,13
01 Andalucía;Industria;Coste por percepciones no salariales;2020T3;74,44
01 Andalucía;Industria;Coste por percepciones no salariales;2020T2;87,93
01 Andalucía;Industria;Coste por percepciones no salariales;2020T1;64,18
01 Andalucía;Industria;Coste por percepciones no salariales;2019T4;80,62
01 Andalucía;Industria;Coste por percepciones no salariales;2019T3;63,44
01 Andalucía;Industria;Coste por percepciones no salariales;2019T2;86,25
01 Andalucía;Industria;Coste por percepciones no salariales;2019T1;64,87
01 Andalucía;Industria;Coste por percepciones no salariales;2018T4;67,35
01 Andalucía;Industria;Coste por percepciones no salariales;2018T3;95,42
01 Andalucía;Industria;Coste por percepciones no salariales;2018T2;65,28
01 Andalucía;Industria;Coste por percepciones no salariales;2018T1;71,1
01 Andalucía;Industria;Coste por percepciones no salariales;2017T4;83,15
01 Andalucía;Industria;Coste por percepciones no salariales;2017T3;67,34
01 Andalucía;Industria;Coste por percepciones no salariales;2017T2;75,94
01 Andalucía;Industria;Coste por percepciones no salariales;2017T1;75,76
01 Andalucía;Industria;Coste por percepciones no salariales;2016T4;90,51
01 Andalucía;Industria;Coste por percepciones no salariales;2016T3;81,58
01 Andalucía;Industria;Coste por percepciones no salariales;2016T2;71,42
01 Andalucía;Industria;Coste por percepciones no salariales;2016T1;107,37
01 Andalucía;Industria;Coste por percepciones no salariales;2015T4;102,76
01 Andalucía;Industria;Coste por percepciones no salariales;2015T3;101,58
01 Andalucía;Industria;Coste por percepciones no salariales;2015T2;79,33
01 Andalucía;Industria;Coste por percepciones no salariales;2015T1;98,55
01 Andalucía;Industria;Coste por percepciones no salariales;2014T4;163,79
01 Andalucía;Industria;Coste por percepciones no salariales;2014T3;93,51
01 Andalucía;Industria;Coste por percepciones no salariales;2014T2;108,23
01 Andalucía;Industria;Coste por percepciones no salariales;2014T1;120,93
01 Andalucía;Industria;Coste por percepciones no salariales;2013T4;109,39
01 Andalucía;Industria;Coste por percepciones no salariales;2013T3;122,44
01 Andalucía;Industria;Coste por percepciones no salariales;2013T2;139,14
01 Andalucía;Industria;Coste por percepciones no salariales;2013T1;154,92
01 Andalucía;Industria;Coste por percepciones no salariales;2012T4;127,73
01 Andalucía;Industria;Coste por percepciones no salariales;2012T3;96,28
01 Andalucía;Industria;Coste por percepciones no salariales;2012T2;173
01 Andalucía;Industria;Coste por percepciones no salariales;2012T1;165,25
01 Andalucía;Industria;Coste por percepciones no salariales;2011T4;135,42
01 Andalucía;Industria;Coste por percepciones no salariales;2011T3;114
01 Andalucía;Industria;Coste por percepciones no salariales;2011T2;96,71
01 Andalucía;Industria;Coste por percepciones no salariales;2011T1;111,71
01 Andalucía;Industria;Coste por percepciones no salariales;2010T4;170,63
01 Andalucía;Industria;Coste por percepciones no salariales;2010T3;109,43
01 Andalucía;Industria;Coste por percepciones no salariales;2010T2;180,37
01 Andalucía;Industria;Coste por percepciones no salariales;2010T1;110,05
01 Andalucía;Industria;Coste por percepciones no salariales;2009T4;129,25
01 Andalucía;Industria;Coste por percepciones no salariales;2009T3;105,19
01 Andalucía;Industria;Coste por percepciones no salariales;2009T2;148,21
01 Andalucía;Industria;Coste por percepciones no salariales;2009T1;151,01
01 Andalucía;Industria;Coste por percepciones no salariales;2008T4;134,92
01 Andalucía;Industria;Coste por percepciones no salariales;2008T3;116,42
01 Andalucía;Industria;Coste por percepciones no salariales;2008T2;108,15
01 Andalucía;Industria;Coste por percepciones no salariales;2008T1;104,21
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2024T4;822,27
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2024T3;817,7
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2024T2;805,33
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2024T1;793,13
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2023T4;773,54
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2023T3;758,93
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2023T2;751,12
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2023T1;752,75
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2022T4;719,62
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2022T3;725,26
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2022T2;721,53
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2022T1;705,17
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2021T4;702,4
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2021T3;695,56
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2021T2;687,56
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2021T1;677,68
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2020T4;688,87
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2020T3;660,33
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2020T2;625,47
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2020T1;653,37
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2019T4;676,99
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2019T3;671,15
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2019T2;672,81
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2019T1;670,41
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2018T4;680,87
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2018T3;674,36
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2018T2;681,39
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2018T1;670,69
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2017T4;669,84
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2017T3;658,67
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2017T2;677,35
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2017T1;669,46
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2016T4;670,63
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2016T3;668,85
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2016T2;665,54
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2016T1;668,34
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2015T4;671,33
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2015T3;674,85
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2015T2;669,21
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2015T1;670,61
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2014T4;669,09
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2014T3;669,95
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2014T2;668,37
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2014T1;660,36
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2013T4;651,75
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2013T3;650,11
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2013T2;643,33
01 Andalucía;Industria;Coste por cotizaciones obligatorias;2013T1;642,2
